#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,hPa,degC,degC,degC,nmi,ft
2020,8,1,11,0,999,5.2,6.2,99,99,99,999,1014.5,999,999,999,99,99
2020,8,1,11,10,999,5.3,6.4,99,99,99,999,1014.6,999,29,999,99,99
2020,8,1,11,20,999,5.4,6.5,99,99,99,999,1014.6,999,29,999,99,99
2020,8,1,11,30,999,5.1,6.5,99,99,99,999,1014.5,999,29,999,99,99
2020,8,1,11,40,999,5,6.1,0.53,6.67,3.96,169,1014.6,999,29,999,99,99
2020,8,1,11,50,999,4.8,5.8,99,99,99,999,1014.7,999,28.9,999,99,99
2020,8,1,12,0,999,5,6.1,99,99,99,999,1014.7,999,28.9,999,99,99
2020,8,1,12,10,999,5.1,6.1,99,99,99,999,1014.7,999,29,999,99,99
2020,8,1,12,20,999,5,6.1,99,99,99,999,1014.7,999,999,999,99,99
2020,8,1,12,30,999,5.2,6.4,99,99,99,999,1014.8,999,29,999,99,99
2020,8,1,12,40,999,5.6,6.9,0.57,5.26,3.92,152,1014.7,999,29,999,99,99
2020,8,1,12,50,999,5.5,6.8,99,99,99,999,1014.8,999,29,999,99,99
2020,8,1,13,0,999,5.6,6.8,99,99,99,999,1014.9,999,29,999,99,99
2020,8,1,13,10,999,5.1,6.5,99,99,99,999,1015,999,29,999,99,99
2020,8,1,13,20,999,4.9,6,99,99,99,999,1015.2,999,29,999,99,99
2020,8,1,13,30,999,5,6.2,99,99,99,999,1015,999,29,999,99,99
2020,8,1,13,40,999,5.2,6.4,0.61,5.26,3.94,143,1014.9,999,29,999,99,99
2020,8,1,13,50,999,5,6.1,99,99,99,999,1015,999,29,999,99,99
2020,8,1,14,0,999,4.9,6,99,99,99,999,1015.2,999,29,999,99,99
2020,8,1,14,10,999,5,6.1,99,99,99,999,1015.2,999,29,999,99,99
2020,8,1,14,20,999,4.6,5.4,99,99,99,999,1015.4,999,29,999,99,99
2020,8,1,14,30,999,4.7,5.4,99,99,99,999,1015.4,999,29.1,999,99,99
2020,8,1,14,40,999,4.4,5.4,0.63,5.56,4.27,131,1015.5,999,29.1,999,99,99
2020,8,1,14,50,999,4,4.8,99,99,99,999,1015.7,999,29.1,999,99,99
2020,8,1,15,0,999,4.2,5.2,99,99,99,999,1015.9,999,29.1,999,99,99
2020,8,1,15,10,999,3.8,4.6,99,99,99,999,1016,999,29.1,999,99,99
2020,8,1,15,20,999,4,4.9,99,99,99,999,1016.2,999,29.1,999,99,99
2020,8,1,15,30,999,4.1,5.1,99,99,99,999,1016.2,999,29.1,999,99,99
2020,8,1,15,40,999,3.9,5,0.62,5.26,4.1,137,1016.3,999,29.2,999,99,99
2020,8,1,15,50,999,3.9,5.1,99,99,99,999,1016.4,999,29.2,999,99,99
2020,8,1,16,0,999,3.6,4.4,99,99,99,999,1016.4,999,29.2,999,99,99
2020,8,1,16,10,999,3.7,4.6,99,99,99,999,1016.2,999,29.2,999,99,99
2020,8,1,16,20,999,3.9,4.8,99,99,99,999,1016.3,999,29.3,999,99,99
2020,8,1,16,30,999,4.3,5.3,99,99,99,999,1016.2,999,29.3,999,99,99
